category_1,category_2,orders_together
Bed_Bath_Table,Food,1
Bed_Bath_Table,Furniture_Bedroom,1
Bed_Bath_Table,Home_Appliances_2,1
Bed_Bath_Table,Kitchen_Dining_Laundry_Garden_Furniture,1
Bed_Bath_Table,Party_Supplies,1
Bed_Bath_Table,Perfumery,1
Bed_Bath_Table,Pet_Shop,1
Bed_Bath_Table,Sports_Leisure,1
Books_General_Interest,Cool_Stuff,1
Books_General_Interest,Housewares,1
Books_Imported,Unclassified,1
Books_Technical,Costruction_Tools_Garden,1
Books_Technical,Furniture_Decor,1
Books_Technical,Health_Beauty,1
Books_Technical,Music,1
Cine_Photo,Cool_Stuff,1
Cine_Photo,Sports_Leisure,1
Cine_Photo,Telephony,1
Computers,Furniture_Decor,1
Computers_Accessories,Consoles_Games,1
Computers_Accessories,Construction_Tools_Construction,1
Computers_Accessories,Construction_Tools_Safety,1
Computers_Accessories,Dvds_Blu_Ray,1
Computers_Accessories,Furniture_Decor,1
Computers_Accessories,Health_Beauty,1
Computers_Accessories,Home_Construction,1
Computers_Accessories,Office_Furniture,1
Computers_Accessories,Tablets_Printing_Image,1
Computers_Accessories,Unclassified,1
Computers_Accessories,Watches_Gifts,1
Consoles_Games,Cool_Stuff,1
Consoles_Games,Housewares,1
Consoles_Games,Pet_Shop,1
Consoles_Games,Sports_Leisure,1
Construction_Tools_Construction,Furniture_Decor,1
Construction_Tools_Construction,Health_Beauty,1
Construction_Tools_Construction,Housewares,1
Construction_Tools_Construction,Kitchen_Dining_Laundry_Garden_Furniture,1
Construction_Tools_Construction,Pet_Shop,1
Construction_Tools_Construction,Toys,1
Construction_Tools_Construction,Watches_Gifts,1
Construction_Tools_Lights,Costruction_Tools_Garden,1
Construction_Tools_Lights,Garden_Tools,1
Construction_Tools_Lights,Home_Construction,1
Cool_Stuff,Home_Construction,1
Cool_Stuff,Housewares,1
Cool_Stuff,Sports_Leisure,1
Costruction_Tools_Garden,Flowers,1
Costruction_Tools_Garden,Garden_Tools,1
Costruction_Tools_Garden,Home_Construction,1
Costruction_Tools_Garden,Pet_Shop,1
Costruction_Tools_Garden,Telephony,1
Dvds_Blu_Ray,Housewares,1
Electronics,Food,1
Electronics,Garden_Tools,1
Electronics,Home_Construction,1
Electronics,Housewares,1
Electronics,Luggage_Accessories,1
Electronics,Small_Appliances,1
Electronics,Sports_Leisure,1
Fashio_Female_Clothing,Fashion_Sport,1
Fashion_Bags_Accessories,Fashion_Sport,1
Fashion_Bags_Accessories,Health_Beauty,1
Fashion_Bags_Accessories,Musical_Instruments,1
Fixed_Telephony,Food,1
Fixed_Telephony,Telephony,1
Flowers,Furniture_Decor,1
Food,Pet_Shop,1
Food,Sports_Leisure,1
Furniture_Bedroom,Furniture_Decor,1
Furniture_Decor,Kitchen_Dining_Laundry_Garden_Furniture,1
Furniture_Decor,Musical_Instruments,1
Furniture_Decor,Small_Appliances,1
Furniture_Living_Room,Garden_Tools,1
Furniture_Living_Room,Toys,1
Furniture_Living_Room,Unclassified,1
Garden_Tools,La_Cuisine,1
Garden_Tools,Luggage_Accessories,1
Garden_Tools,Pet_Shop,1
Garden_Tools,Telephony,1
Health_Beauty,Housewares,1
Health_Beauty,Pet_Shop,1
Health_Beauty,Small_Appliances,1
Health_Beauty,Toys,1
Home_Comfort_2,Musical_Instruments,1
Home_Confort,Housewares,1
Home_Confort,Watches_Gifts,1
Housewares,Industry_Commerce_And_Business,1
Housewares,Perfumery,1
Housewares,Small_Appliances,1
Industry_Commerce_And_Business,Office_Furniture,1
Kitchen_Dining_Laundry_Garden_Furniture,Toys,1
Luggage_Accessories,Musical_Instruments,1
Luggage_Accessories,Telephony,1
Market_Place,Musical_Instruments,1
Market_Place,Perfumery,1
Music,Perfumery,1
Musical_Instruments,Toys,1
Musical_Instruments,Unclassified,1
Musical_Instruments,Watches_Gifts,1
Perfumery,Pet_Shop,1
Perfumery,Watches_Gifts,1
Pet_Shop,Sports_Leisure,1
Small_Appliances,Sports_Leisure,1
Small_Appliances,Telephony,1
Sports_Leisure,Stationery,1
Telephony,Toys,1
Toys,Unclassified,1
Toys,Watches_Gifts,1
